SegId,name,hemisphere,NVoxels,Volume,normMean,normStdDev,normMin,normMax,normRange
2,Left-Cerebral-White-Matter,left,148229.0,148229.0,107.8739,9.5276,31.0,135.0,104.0
3,Left-Cerebral-Cortex,left,175627.0,175627.0,72.7198,10.3236,28.0,134.0,106.0
4,Left-Lateral-Ventricle,left,28871.0,28871.0,21.5511,10.9968,7.0,80.0,73.0
5,Left-Inf-Lat-Vent,left,2779.0,2779.0,36.7807,18.0883,9.0,91.0,82.0
7,Left-Cerebellum-White-Matter,left,8944.0,8944.0,95.9867,7.9739,49.0,135.0,86.0
8,Left-Cerebellum-Cortex,left,39423.0,39423.0,64.4,9.8843,14.0,136.0,122.0
10,Left-Thalamus-Proper,left,5276.0,5276.0,90.6979,10.7582,29.0,116.0,87.0
11,Left-Caudate,left,3666.0,3666.0,78.7814,11.2572,31.0,108.0,77.0
12,Left-Putamen,left,4080.0,4080.0,88.4657,6.9849,56.0,107.0,51.0
13,Left-Pallidum,left,1214.0,1214.0,101.0966,6.6579,67.0,118.0,51.0
14,3rd-Ventricle,,2312.0,2312.0,25.6949,12.5087,10.0,75.0,65.0
15,4th-Ventricle,,1385.0,1385.0,24.4564,10.0209,7.0,57.0,50.0
16,Brain-Stem,,16491.0,16491.0,92.2465,11.5738,14.0,122.0,108.0
17,Left-Hippocampus,left,2703.0,2703.0,70.9477,8.5887,32.0,95.0,63.0
18,Left-Amygdala,left,1080.0,1080.0,68.9827,7.2523,49.0,89.0,40.0
24,CSF,,1253.0,1253.0,39.4636,12.0741,14.0,70.0,56.0
26,Left-Accumbens-area,left,357.0,357.0,73.7131,7.9314,45.0,94.0,49.0
28,Left-VentralDC,left,3110.0,3110.0,99.7379,12.1472,27.0,137.0,110.0
30,Left-vessel,left,212.0,212.0,68.8535,10.371,34.0,93.0,59.0
31,Left-choroid-plexus,left,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Right-Cerebral-White-Matter,right,147995.0,147995.0,107.9596,9.8579,47.0,133.0,86.0
42,Right-Cerebral-Cortex,right,174746.0,174746.0,71.9594,10.4998,22.0,143.0,121.0
43,Right-Lateral-Ventricle,right,26459.0,26459.0,21.923,11.26,8.0,89.0,81.0
44,Right-Inf-Lat-Vent,right,2188.0,2188.0,36.9637,16.8402,9.0,94.0,85.0
46,Right-Cerebellum-White-Matter,right,9201.0,9201.0,94.5851,7.3223,49.0,120.0,71.0
47,Right-Cerebellum-Cortex,right,39199.0,39199.0,63.772,9.4801,18.0,93.0,75.0
49,Right-Thalamus-Proper,right,5315.0,5315.0,90.2949,11.2326,40.0,116.0,76.0
50,Right-Caudate,right,3503.0,3503.0,79.1817,11.6357,47.0,105.0,58.0
51,Right-Putamen,right,3732.0,3732.0,89.8285,6.8593,65.0,109.0,44.0
52,Right-Pallidum,right,1094.0,1094.0,102.3276,7.313,61.0,120.0,59.0
53,Right-Hippocampus,right,3538.0,3538.0,67.976,9.368,37.0,108.0,71.0
54,Right-Amygdala,right,1461.0,1461.0,70.5576,7.5222,37.0,94.0,57.0
58,Right-Accumbens-area,right,401.0,401.0,81.017,6.7421,56.0,99.0,43.0
60,Right-VentralDC,right,3140.0,3140.0,98.8289,14.1361,41.0,138.0,97.0
62,Right-vessel,right,104.0,104.0,72.5,11.5198,39.0,89.0,50.0
72,5th-Ventricle,,65.0,65.0,48.6604,13.8424,19.0,76.0,57.0
77,WM-hypointensities,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Left-WM-hypointensities,left,3007.0,3007.0,80.2689,15.084,31.0,113.0,82.0
79,Right-WM-hypointensities,right,2987.0,2987.0,77.808,14.8825,23.0,113.0,90.0
80,non-WM-hypointensities,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Left-non-WM-hypointensities,left,123.0,123.0,63.8899,12.5863,40.0,97.0,57.0
82,Right-non-WM-hypointensities,right,66.0,66.0,65.2373,12.3726,43.0,88.0,45.0
85,Optic-Chiasm,,376.0,376.0,92.0309,28.3429,40.0,225.0,185.0
251,CC_Posterior,,764.0,764.0,117.1975,13.277,56.0,135.0,79.0
252,CC_Mid_Posterior,,298.0,298.0,111.495,11.1465,71.0,127.0,56.0
253,CC_Central,,322.0,322.0,113.1925,10.1874,77.0,125.0,48.0
254,CC_Mid_Anterior,,291.0,291.0,114.2313,9.6177,80.0,126.0,46.0
255,CC_Anterior,,632.0,632.0,110.9374,11.3987,56.0,129.0,73.0
