SegId,name,hemisphere,NVoxels,Volume,normMean,normStdDev,normMin,normMax,normRange
2,Left-Cerebral-White-Matter,left,166154.0,166154.0,106.422,9.8863,44.0,134.0,90.0
3,Left-Cerebral-Cortex,left,192917.0,192917.0,70.8276,9.9332,28.0,163.0,135.0
4,Left-Lateral-Ventricle,left,25221.0,25221.0,20.6818,11.3013,7.0,76.0,69.0
5,Left-Inf-Lat-Vent,left,1882.0,1882.0,37.8375,17.1188,9.0,90.0,81.0
7,Left-Cerebellum-White-Matter,left,11519.0,11519.0,95.019,6.4292,48.0,114.0,66.0
8,Left-Cerebellum-Cortex,left,46319.0,46319.0,66.1362,9.3285,25.0,120.0,95.0
10,Left-Thalamus-Proper,left,5219.0,5219.0,88.1252,10.3561,44.0,111.0,67.0
11,Left-Caudate,left,4200.0,4200.0,77.2785,10.6506,48.0,103.0,55.0
12,Left-Putamen,left,5469.0,5469.0,84.2479,7.5168,46.0,105.0,59.0
13,Left-Pallidum,left,1485.0,1485.0,105.8084,7.0934,86.0,126.0,40.0
14,3rd-Ventricle,,1624.0,1624.0,27.3867,12.6242,10.0,67.0,57.0
15,4th-Ventricle,,1712.0,1712.0,25.6926,10.6453,10.0,63.0,53.0
16,Brain-Stem,,17422.0,17422.0,88.4754,9.9525,27.0,116.0,89.0
17,Left-Hippocampus,left,3079.0,3079.0,69.6062,8.8167,29.0,105.0,76.0
18,Left-Amygdala,left,1151.0,1151.0,68.1512,6.9582,43.0,88.0,45.0
24,CSF,,1269.0,1269.0,37.4124,12.4964,12.0,73.0,61.0
26,Left-Accumbens-area,left,605.0,605.0,71.5194,7.6692,41.0,91.0,50.0
28,Left-VentralDC,left,3442.0,3442.0,99.0917,11.4947,43.0,126.0,83.0
30,Left-vessel,left,33.0,33.0,76.9535,6.2828,60.0,84.0,24.0
31,Left-choroid-plexus,left,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Right-Cerebral-White-Matter,right,167318.0,167318.0,108.1229,10.1273,34.0,180.0,146.0
42,Right-Cerebral-Cortex,right,196286.0,196286.0,71.006,10.3647,20.0,117.0,97.0
43,Right-Lateral-Ventricle,right,30397.0,30397.0,19.5409,10.6624,8.0,79.0,71.0
44,Right-Inf-Lat-Vent,right,1740.0,1740.0,37.5383,15.8019,9.0,84.0,75.0
46,Right-Cerebellum-White-Matter,right,11983.0,11983.0,94.3567,6.7372,45.0,114.0,69.0
47,Right-Cerebellum-Cortex,right,45472.0,45472.0,65.6802,9.3012,24.0,129.0,105.0
49,Right-Thalamus-Proper,right,5421.0,5421.0,86.9674,10.8906,43.0,110.0,67.0
50,Right-Caudate,right,4288.0,4288.0,77.7698,11.8395,39.0,109.0,70.0
51,Right-Putamen,right,4817.0,4817.0,87.1109,7.1626,48.0,111.0,63.0
52,Right-Pallidum,right,1402.0,1402.0,104.9929,6.3808,70.0,126.0,56.0
53,Right-Hippocampus,right,2983.0,2983.0,68.1281,8.332,35.0,98.0,63.0
54,Right-Amygdala,right,1459.0,1459.0,70.0041,8.0681,39.0,97.0,58.0
58,Right-Accumbens-area,right,504.0,504.0,80.1797,7.3749,41.0,100.0,59.0
60,Right-VentralDC,right,3126.0,3126.0,98.6073,12.4538,44.0,131.0,87.0
62,Right-vessel,right,159.0,159.0,67.3525,11.8578,37.0,87.0,50.0
72,5th-Ventricle,,91.0,91.0,42.8734,13.023,20.0,68.0,48.0
77,WM-hypointensities,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Left-WM-hypointensities,left,3316.0,3316.0,80.2753,14.5527,35.0,110.0,75.0
79,Right-WM-hypointensities,right,4016.0,4016.0,79.5406,15.3134,27.0,114.0,87.0
80,non-WM-hypointensities,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Left-non-WM-hypointensities,left,159.0,159.0,62.4225,9.9276,38.0,81.0,43.0
82,Right-non-WM-hypointensities,right,56.0,56.0,73.6487,14.5511,47.0,93.0,46.0
85,Optic-Chiasm,,318.0,318.0,80.1763,20.7779,31.0,121.0,90.0
251,CC_Posterior,,848.0,848.0,114.9118,13.6877,59.0,134.0,75.0
252,CC_Mid_Posterior,,335.0,335.0,113.1369,10.9181,80.0,132.0,52.0
253,CC_Central,,320.0,320.0,110.546,11.8198,62.0,127.0,65.0
254,CC_Mid_Anterior,,342.0,342.0,111.006,10.5586,80.0,126.0,46.0
255,CC_Anterior,,624.0,624.0,109.1912,11.3362,51.0,127.0,76.0
