SegId,name,hemisphere,NVoxels,Volume,normMean,normStdDev,normMin,normMax,normRange
2,Left-Cerebral-White-Matter,left,180706.0,180706.0,107.735,9.4667,34.0,141.0,107.0
3,Left-Cerebral-Cortex,left,180045.0,180045.0,71.3718,10.4725,16.0,111.0,95.0
4,Left-Lateral-Ventricle,left,19281.0,19281.0,22.3131,11.8521,8.0,83.0,75.0
5,Left-Inf-Lat-Vent,left,806.0,806.0,48.7204,15.6562,13.0,90.0,77.0
7,Left-Cerebellum-White-Matter,left,12795.0,12795.0,93.7085,6.3524,51.0,112.0,61.0
8,Left-Cerebellum-Cortex,left,45848.0,45848.0,63.4368,9.2583,24.0,136.0,112.0
10,Left-Thalamus-Proper,left,5252.0,5252.0,89.8141,10.7148,48.0,112.0,64.0
11,Left-Caudate,left,2752.0,2752.0,79.8581,11.3317,47.0,104.0,57.0
12,Left-Putamen,left,4432.0,4432.0,89.4188,7.7612,32.0,112.0,80.0
13,Left-Pallidum,left,1465.0,1465.0,107.8291,5.1436,90.0,124.0,34.0
14,3rd-Ventricle,,1845.0,1845.0,27.8031,13.0608,9.0,71.0,62.0
15,4th-Ventricle,,1508.0,1508.0,24.3555,10.6186,8.0,57.0,49.0
16,Brain-Stem,,17801.0,17801.0,87.9096,10.9973,37.0,122.0,85.0
17,Left-Hippocampus,left,2674.0,2674.0,70.5196,8.8535,39.0,118.0,79.0
18,Left-Amygdala,left,983.0,983.0,69.9521,7.3037,43.0,90.0,47.0
24,CSF,,1284.0,1284.0,38.7926,12.2678,13.0,77.0,64.0
26,Left-Accumbens-area,left,470.0,470.0,75.1258,6.5498,51.0,93.0,42.0
28,Left-VentralDC,left,3159.0,3159.0,100.2354,10.4543,57.0,130.0,73.0
30,Left-vessel,left,202.0,202.0,68.6647,11.41,31.0,94.0,63.0
31,Left-choroid-plexus,left,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Right-Cerebral-White-Matter,right,173498.0,173498.0,107.4243,9.2203,47.0,136.0,89.0
42,Right-Cerebral-Cortex,right,176904.0,176904.0,71.3435,10.647,32.0,155.0,123.0
43,Right-Lateral-Ventricle,right,12214.0,12214.0,25.7424,12.6813,8.0,81.0,73.0
44,Right-Inf-Lat-Vent,right,740.0,740.0,42.6913,15.901,10.0,85.0,75.0
46,Right-Cerebellum-White-Matter,right,11827.0,11827.0,92.7279,5.9298,44.0,112.0,68.0
47,Right-Cerebellum-Cortex,right,45778.0,45778.0,62.0271,9.2763,18.0,126.0,108.0
49,Right-Thalamus-Proper,right,5219.0,5219.0,90.618,10.9028,45.0,113.0,68.0
50,Right-Caudate,right,2599.0,2599.0,79.2468,11.9346,37.0,107.0,70.0
51,Right-Putamen,right,4339.0,4339.0,90.9481,7.4042,51.0,109.0,58.0
52,Right-Pallidum,right,1368.0,1368.0,108.8401,5.022,89.0,126.0,37.0
53,Right-Hippocampus,right,2608.0,2608.0,67.2626,9.6645,35.0,105.0,70.0
54,Right-Amygdala,right,1186.0,1186.0,71.6002,6.9801,50.0,91.0,41.0
58,Right-Accumbens-area,right,497.0,497.0,79.6453,6.8328,45.0,98.0,53.0
60,Right-VentralDC,right,3353.0,3353.0,98.7057,12.0784,47.0,128.0,81.0
62,Right-vessel,right,111.0,111.0,66.2062,10.4033,38.0,87.0,49.0
72,5th-Ventricle,,55.0,55.0,45.3333,9.9674,31.0,67.0,36.0
77,WM-hypointensities,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Left-WM-hypointensities,left,2499.0,2499.0,82.6576,14.5578,35.0,114.0,79.0
79,Right-WM-hypointensities,right,1782.0,1782.0,80.0518,14.7927,35.0,115.0,80.0
80,non-WM-hypointensities,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Left-non-WM-hypointensities,left,41.0,41.0,63.9268,8.7533,42.0,88.0,46.0
82,Right-non-WM-hypointensities,right,3.0,3.0,64.5,9.3274,54.0,75.0,21.0
85,Optic-Chiasm,,291.0,291.0,88.904,23.424,37.0,158.0,121.0
251,CC_Posterior,,797.0,797.0,118.0552,10.9702,65.0,135.0,70.0
252,CC_Mid_Posterior,,335.0,335.0,113.2655,12.1058,67.0,127.0,60.0
253,CC_Central,,309.0,309.0,110.7229,8.5279,77.0,122.0,45.0
254,CC_Mid_Anterior,,304.0,304.0,111.9188,10.7708,78.0,128.0,50.0
255,CC_Anterior,,851.0,851.0,115.9646,10.6557,74.0,131.0,57.0
