SegId,name,hemisphere,NVoxels,Volume,normMean,normStdDev,normMin,normMax,normRange
2,Left-Cerebral-White-Matter,left,202180.0,202180.0,107.1798,9.871,44.0,209.0,165.0
3,Left-Cerebral-Cortex,left,231716.0,231716.0,69.2887,10.5529,27.0,191.0,164.0
4,Left-Lateral-Ventricle,left,11290.0,11290.0,25.5009,13.1663,7.0,79.0,72.0
5,Left-Inf-Lat-Vent,left,1006.0,1006.0,42.6355,17.2602,9.0,90.0,81.0
7,Left-Cerebellum-White-Matter,left,12187.0,12187.0,89.8688,7.1404,39.0,119.0,80.0
8,Left-Cerebellum-Cortex,left,53100.0,53100.0,59.7104,9.4391,10.0,139.0,129.0
10,Left-Thalamus-Proper,left,5612.0,5612.0,88.7829,10.7007,40.0,113.0,73.0
11,Left-Caudate,left,3066.0,3066.0,77.0637,10.8097,40.0,103.0,63.0
12,Left-Putamen,left,4857.0,4857.0,83.6272,7.8211,54.0,129.0,75.0
13,Left-Pallidum,left,1472.0,1472.0,104.6397,5.4003,82.0,123.0,41.0
14,3rd-Ventricle,,1050.0,1050.0,32.7198,13.1418,10.0,65.0,55.0
15,4th-Ventricle,,1710.0,1710.0,27.9953,10.6492,7.0,72.0,65.0
16,Brain-Stem,,17689.0,17689.0,87.3782,10.5317,35.0,133.0,98.0
17,Left-Hippocampus,left,3428.0,3428.0,67.254,9.5546,32.0,105.0,73.0
18,Left-Amygdala,left,1323.0,1323.0,65.3043,7.2818,31.0,87.0,56.0
24,CSF,,1154.0,1154.0,38.9705,13.7955,8.0,71.0,63.0
26,Left-Accumbens-area,left,615.0,615.0,72.1221,6.6666,41.0,92.0,51.0
28,Left-VentralDC,left,3564.0,3564.0,100.1064,11.2337,55.0,145.0,90.0
30,Left-vessel,left,88.0,88.0,67.9359,12.1145,44.0,95.0,51.0
31,Left-choroid-plexus,left,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Right-Cerebral-White-Matter,right,194144.0,194144.0,108.6396,9.4861,44.0,136.0,92.0
42,Right-Cerebral-Cortex,right,235614.0,235614.0,69.8778,11.0588,20.0,166.0,146.0
43,Right-Lateral-Ventricle,right,10100.0,10100.0,25.8569,13.265,8.0,88.0,80.0
44,Right-Inf-Lat-Vent,right,985.0,985.0,41.5634,18.0665,8.0,86.0,78.0
46,Right-Cerebellum-White-Matter,right,12168.0,12168.0,90.2021,6.8702,40.0,112.0,72.0
47,Right-Cerebellum-Cortex,right,51297.0,51297.0,59.8676,8.9347,21.0,107.0,86.0
49,Right-Thalamus-Proper,right,5948.0,5948.0,89.88,11.0477,41.0,115.0,74.0
50,Right-Caudate,right,2998.0,2998.0,75.35,11.1425,38.0,105.0,67.0
51,Right-Putamen,right,4969.0,4969.0,86.3582,7.5002,56.0,105.0,49.0
52,Right-Pallidum,right,1571.0,1571.0,106.2245,5.007,91.0,124.0,33.0
53,Right-Hippocampus,right,3687.0,3687.0,68.2115,9.6431,36.0,106.0,70.0
54,Right-Amygdala,right,1345.0,1345.0,67.9444,7.7289,38.0,97.0,59.0
58,Right-Accumbens-area,right,661.0,661.0,77.8026,9.3908,42.0,155.0,113.0
60,Right-VentralDC,right,3496.0,3496.0,97.372,12.6124,47.0,143.0,96.0
62,Right-vessel,right,48.0,48.0,72.1277,12.1273,37.0,95.0,58.0
72,5th-Ventricle,,68.0,68.0,41.5,6.6021,19.0,60.0,41.0
77,WM-hypointensities,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Left-WM-hypointensities,left,961.0,961.0,79.541,13.9205,39.0,109.0,70.0
79,Right-WM-hypointensities,right,1036.0,1036.0,78.9651,14.5976,38.0,126.0,88.0
80,non-WM-hypointensities,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Left-non-WM-hypointensities,left,25.0,25.0,64.8182,11.8834,46.0,90.0,44.0
82,Right-non-WM-hypointensities,right,2.0,2.0,63.6667,4.1633,59.0,67.0,8.0
85,Optic-Chiasm,,131.0,131.0,88.7442,22.993,47.0,137.0,90.0
251,CC_Posterior,,1021.0,1021.0,119.449,9.413,67.0,135.0,68.0
252,CC_Mid_Posterior,,377.0,377.0,112.6633,9.9487,80.0,125.0,45.0
253,CC_Central,,358.0,358.0,112.7218,9.8386,75.0,127.0,52.0
254,CC_Mid_Anterior,,413.0,413.0,117.2487,9.383,81.0,136.0,55.0
255,CC_Anterior,,923.0,923.0,117.7022,10.2888,60.0,134.0,74.0
