SegId,name,hemisphere,NVoxels,Volume,normMean,normStdDev,normMin,normMax,normRange
2,Left-Cerebral-White-Matter,left,211395.0,211395.0,110.9571,10.1649,17.0,143.0,126.0
3,Left-Cerebral-Cortex,left,226037.0,226037.0,74.0303,10.8217,19.0,150.0,131.0
4,Left-Lateral-Ventricle,left,52788.0,52788.0,21.0247,10.6903,6.0,87.0,81.0
5,Left-Inf-Lat-Vent,left,2713.0,2713.0,39.1722,19.1435,9.0,96.0,87.0
7,Left-Cerebellum-White-Matter,left,11978.0,11978.0,93.3526,6.6956,51.0,115.0,64.0
8,Left-Cerebellum-Cortex,left,50671.0,50671.0,65.3455,9.3022,16.0,117.0,101.0
10,Left-Thalamus-Proper,left,6210.0,6210.0,97.0774,12.0891,21.0,127.0,106.0
11,Left-Caudate,left,3816.0,3816.0,85.3078,11.4173,47.0,113.0,66.0
12,Left-Putamen,left,4399.0,4399.0,93.7999,7.9536,61.0,121.0,60.0
13,Left-Pallidum,left,909.0,909.0,110.3318,6.6949,82.0,133.0,51.0
14,3rd-Ventricle,,4002.0,4002.0,24.2877,11.1107,10.0,80.0,70.0
15,4th-Ventricle,,2436.0,2436.0,24.0049,11.0747,6.0,68.0,62.0
16,Brain-Stem,,20695.0,20695.0,92.9361,12.0184,45.0,133.0,88.0
17,Left-Hippocampus,left,3451.0,3451.0,76.0612,9.3977,36.0,111.0,75.0
18,Left-Amygdala,left,1540.0,1540.0,76.5424,8.0379,55.0,97.0,42.0
24,CSF,,3302.0,3302.0,31.0685,14.0554,10.0,80.0,70.0
26,Left-Accumbens-area,left,505.0,505.0,80.0844,6.4635,49.0,98.0,49.0
28,Left-VentralDC,left,2703.0,2703.0,99.1972,14.5225,32.0,135.0,103.0
30,Left-vessel,left,143.0,143.0,70.7634,11.6928,38.0,93.0,55.0
31,Left-choroid-plexus,left,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Right-Cerebral-White-Matter,right,219143.0,219143.0,110.9404,9.9817,26.0,145.0,119.0
42,Right-Cerebral-Cortex,right,230819.0,230819.0,73.5122,11.1391,18.0,235.0,217.0
43,Right-Lateral-Ventricle,right,43817.0,43817.0,20.9515,10.5561,7.0,85.0,78.0
44,Right-Inf-Lat-Vent,right,2484.0,2484.0,38.8021,17.8205,9.0,113.0,104.0
46,Right-Cerebellum-White-Matter,right,12556.0,12556.0,93.3429,6.9061,38.0,119.0,81.0
47,Right-Cerebellum-Cortex,right,50635.0,50635.0,64.9194,9.5634,23.0,153.0,130.0
49,Right-Thalamus-Proper,right,6207.0,6207.0,95.6622,11.6271,28.0,128.0,100.0
50,Right-Caudate,right,4358.0,4358.0,81.7137,12.7692,38.0,119.0,81.0
51,Right-Putamen,right,4277.0,4277.0,92.3563,7.73,50.0,123.0,73.0
52,Right-Pallidum,right,1373.0,1373.0,113.678,6.9724,74.0,138.0,64.0
53,Right-Hippocampus,right,3744.0,3744.0,73.3338,10.5011,31.0,120.0,89.0
54,Right-Amygdala,right,1776.0,1776.0,78.1324,7.8507,50.0,109.0,59.0
58,Right-Accumbens-area,right,615.0,615.0,84.7367,6.3125,56.0,108.0,52.0
60,Right-VentralDC,right,2790.0,2790.0,97.6687,15.6824,23.0,132.0,109.0
62,Right-vessel,right,132.0,132.0,65.9683,12.3456,32.0,92.0,60.0
72,5th-Ventricle,,133.0,133.0,46.4747,10.3838,18.0,75.0,57.0
77,WM-hypointensities,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Left-WM-hypointensities,left,7151.0,7151.0,86.4082,14.5488,23.0,120.0,97.0
79,Right-WM-hypointensities,right,7695.0,7695.0,83.9467,14.7505,16.0,117.0,101.0
80,non-WM-hypointensities,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Left-non-WM-hypointensities,left,189.0,189.0,66.5556,11.9771,40.0,101.0,61.0
82,Right-non-WM-hypointensities,right,402.0,402.0,57.8321,9.8944,37.0,90.0,53.0
85,Optic-Chiasm,,191.0,191.0,79.8429,16.6865,45.0,114.0,69.0
251,CC_Posterior,,777.0,777.0,117.6027,14.7934,71.0,143.0,72.0
252,CC_Mid_Posterior,,255.0,255.0,105.2891,12.7898,59.0,127.0,68.0
253,CC_Central,,236.0,236.0,112.218,11.1077,80.0,131.0,51.0
254,CC_Mid_Anterior,,218.0,218.0,111.2419,14.4224,56.0,132.0,76.0
255,CC_Anterior,,678.0,678.0,116.1206,13.4451,68.0,136.0,68.0
